,value,series_name,date
0,32.92,CPI,1966-12-01
1,32.88,CPI,1966-11-01
2,32.85,CPI,1966-10-01
3,32.75,CPI,1966-09-01
4,32.65,CPI,1966-08-01
5,32.45,CPI,1966-07-01
6,32.38,CPI,1966-06-01
7,32.35,CPI,1966-05-01
8,32.28,CPI,1966-04-01
9,32.18,CPI,1966-03-01
10,32.08,CPI,1966-02-01
11,31.88,CPI,1966-01-01
12,31.85,CPI,1965-12-01
13,31.75,CPI,1965-11-01
14,31.65,CPI,1965-10-01
15,31.62,CPI,1965-09-01
16,31.55,CPI,1965-08-01
17,31.58,CPI,1965-07-01
18,31.61,CPI,1965-06-01
19,31.48,CPI,1965-05-01
20,31.38,CPI,1965-04-01
21,31.31,CPI,1965-03-01
22,31.28,CPI,1965-02-01
23,31.28,CPI,1965-01-01
24,31.25,CPI,1964-12-01
25,31.21,CPI,1964-11-01
26,31.12,CPI,1964-10-01
27,31.08,CPI,1964-09-01
28,31.05,CPI,1964-08-01
29,31.02,CPI,1964-07-01
30,31.01,CPI,1964-06-01
31,30.98,CPI,1964-05-01
32,30.95,CPI,1964-04-01
33,30.94,CPI,1964-03-01
34,30.91,CPI,1964-02-01
35,30.94,CPI,1964-01-01
36,30.88,CPI,1963-12-01
37,30.78,CPI,1963-11-01
38,30.75,CPI,1963-10-01
39,30.72,CPI,1963-09-01
40,30.75,CPI,1963-08-01
41,30.69,CPI,1963-07-01
42,30.61,CPI,1963-06-01
43,30.51,CPI,1963-05-01
44,30.48,CPI,1963-04-01
45,30.51,CPI,1963-03-01
46,30.48,CPI,1963-02-01
47,30.44,CPI,1963-01-01
48,30.38,CPI,1962-12-01
49,30.38,CPI,1962-11-01
50,30.38,CPI,1962-10-01
51,30.42,CPI,1962-09-01
52,30.28,CPI,1962-08-01
53,30.22,CPI,1962-07-01
54,30.21,CPI,1962-06-01
55,30.24,CPI,1962-05-01
56,30.21,CPI,1962-04-01
57,30.17,CPI,1962-03-01
58,30.11,CPI,1962-02-01
59,30.04,CPI,1962-01-01
60,30.01,CPI,1961-12-01
61,29.98,CPI,1961-11-01
62,29.98,CPI,1961-10-01
63,29.98,CPI,1961-09-01
64,29.94,CPI,1961-08-01
65,29.92,CPI,1961-07-01
66,29.84,CPI,1961-06-01
67,29.84,CPI,1961-05-01
68,29.81,CPI,1961-04-01
69,29.84,CPI,1961-03-01
70,29.84,CPI,1961-02-01
71,29.84,CPI,1961-01-01
72,29.81,CPI,1960-12-01
73,29.78,CPI,1960-11-01
74,29.75,CPI,1960-10-01
75,29.61,CPI,1960-09-01
76,29.61,CPI,1960-08-01
77,29.55,CPI,1960-07-01
78,29.61,CPI,1960-06-01
79,29.57,CPI,1960-05-01
80,29.54,CPI,1960-04-01
81,29.41,CPI,1960-03-01
82,29.41,CPI,1960-02-01
83,29.37,CPI,1960-01-01
84,29.41,CPI,1959-12-01
85,29.35,CPI,1959-11-01
86,29.35,CPI,1959-10-01
87,29.25,CPI,1959-09-01
88,29.18,CPI,1959-08-01
89,29.15,CPI,1959-07-01
90,29.11,CPI,1959-06-01
91,29.04,CPI,1959-05-01
92,28.98,CPI,1959-04-01
93,28.97,CPI,1959-03-01
94,29.00,CPI,1959-02-01
95,29.01,CPI,1959-01-01
96,28.97,CPI,1958-12-01
97,28.95,CPI,1958-11-01
98,28.91,CPI,1958-10-01
99,28.91,CPI,1958-09-01
100,28.94,CPI,1958-08-01
101,28.89,CPI,1958-07-01
102,28.91,CPI,1958-06-01
103,28.94,CPI,1958-05-01
104,28.94,CPI,1958-04-01
105,28.87,CPI,1958-03-01
106,28.70,CPI,1958-02-01
107,28.64,CPI,1958-01-01
108,28.47,CPI,1957-12-01
109,28.41,CPI,1957-11-01
110,28.32,CPI,1957-10-01
111,28.32,CPI,1957-09-01
112,28.28,CPI,1957-08-01
113,28.19,CPI,1957-07-01
114,28.11,CPI,1957-06-01
115,28.00,CPI,1957-05-01
116,27.93,CPI,1957-04-01
117,27.86,CPI,1957-03-01
118,27.80,CPI,1957-02-01
119,27.67,CPI,1957-01-01
120,27.63,CPI,1956-12-01
121,27.51,CPI,1956-11-01
122,27.51,CPI,1956-10-01
123,27.35,CPI,1956-09-01
124,27.31,CPI,1956-08-01
125,27.29,CPI,1956-07-01
126,27.15,CPI,1956-06-01
127,27.03,CPI,1956-05-01
128,26.93,CPI,1956-04-01
129,26.89,CPI,1956-03-01
130,26.86,CPI,1956-02-01
131,26.83,CPI,1956-01-01
132,26.87,CPI,1955-12-01
133,26.88,CPI,1955-11-01
134,26.82,CPI,1955-10-01
135,26.85,CPI,1955-09-01
136,26.72,CPI,1955-08-01
137,26.76,CPI,1955-07-01
138,26.71,CPI,1955-06-01
139,26.77,CPI,1955-05-01
140,26.79,CPI,1955-04-01
141,26.79,CPI,1955-03-01
142,26.82,CPI,1955-02-01
143,26.77,CPI,1955-01-01
144,26.77,CPI,1954-12-01
145,26.78,CPI,1954-11-01
146,26.72,CPI,1954-10-01
147,26.81,CPI,1954-09-01
